Timestamp;IMU_angle[0];Set_Yaw
127563000;-91.630173;-90.009010
127574000;-91.631531;-90.009010
127584000;-91.631119;-90.009010
127596000;-91.631241;-90.009010
127606000;-91.631058;-90.009010
127617000;-91.631485;-90.009010
127627000;-91.630615;-90.009010
127638000;-91.631912;-90.009010
127649000;-91.633636;-90.009010
127659000;-91.633606;-90.009010
127669000;-91.633530;-90.009010
127680000;-91.632477;-90.009010
127691000;-91.634247;-90.009010
127702000;-91.635414;-90.009010
127713000;-91.634369;-90.009010
127723000;-91.635002;-90.009010
127733000;-91.635147;-90.009010
127744000;-91.635544;-90.009010
127755000;-91.634659;-90.009010
127766000;-91.633759;-90.009010
127776000;-91.632233;-90.009010
127787000;-91.631111;-90.009010
127799000;-91.630356;-90.009010
127810000;-91.632103;-90.009010
127820000;-91.632843;-90.009010
127831000;-91.632271;-90.009010
127842000;-91.633194;-90.009010
127853000;-91.632401;-90.009010
127863000;-91.631134;-90.009010
127873000;-91.630417;-90.009010
127885000;-91.630325;-90.009010
127895000;-91.630081;-90.009010
127905000;-91.629364;-90.009010
127916000;-91.630157;-90.009010
127926000;-91.630264;-90.009010
127937000;-91.630112;-90.009010
127947000;-91.630478;-90.009010
127958000;-91.630402;-90.009010
127970000;-91.630325;-90.009010
127980000;-91.632355;-90.009010
127991000;-91.631363;-90.009010
128002000;-91.632774;-90.009010
128012000;-91.630951;-90.009010
128023000;-91.631409;-90.009010
128034000;-91.633209;-90.009010
128044000;-91.631432;-90.009010
128055000;-91.630745;-90.009010
128065000;-91.630157;-90.009010
128076000;-91.629623;-90.009010
128086000;-91.630981;-90.009010
128097000;-91.628662;-90.009010
128108000;-91.628929;-90.009010
128118000;-91.629227;-90.009010
128128000;-91.629204;-90.009010
128138000;-91.629074;-90.009010
128148000;-91.628006;-90.009010
128159000;-91.629288;-90.009010
128170000;-91.627335;-90.009010
128181000;-91.627495;-90.009010
128192000;-91.628090;-90.009010
128202000;-91.626846;-90.009010
128214000;-91.627090;-90.009010
128224000;-91.627716;-90.009010
128234000;-91.627258;-90.009010
128245000;-91.626709;-90.009010
128256000;-91.627243;-90.009010
128267000;-91.628738;-90.009010
128277000;-91.629005;-90.009010
128289000;-91.629997;-90.009010
128299000;-91.632294;-90.009010
128310000;-91.631775;-90.009010
128320000;-91.631844;-90.009010
128330000;-91.632240;-90.009010
128341000;-91.632050;-90.009010
128353000;-91.632378;-90.009010
128363000;-91.634201;-90.009010
128373000;-91.634186;-90.009010
128383000;-91.634689;-90.009010
128394000;-91.634674;-90.009010
128405000;-91.635345;-90.009010
128416000;-91.635048;-90.009010
128427000;-91.635384;-90.009010
128438000;-91.635284;-90.009010
128448000;-91.636444;-90.009010
128459000;-91.637329;-90.009010
128469000;-91.636734;-90.009010
128480000;-91.638245;-90.009010
128490000;-91.638123;-90.009010
128501000;-91.638443;-90.009010
128512000;-91.638016;-90.009010
128523000;-91.637825;-90.009010
128533000;-91.636406;-90.009010
128543000;-91.635811;-90.009010
128554000;-91.636215;-90.009010
128566000;-91.637405;-90.009010
128576000;-91.638580;-90.009010
128588000;-91.637703;-90.009010
128598000;-91.637161;-90.009010
128609000;-91.638504;-90.009010
128620000;-91.638817;-90.009010
128630000;-91.639221;-90.009010
128642000;-91.639526;-90.009010
128652000;-91.640411;-90.009010
128662000;-91.639832;-90.009010
128673000;-91.641457;-90.009010
128683000;-91.641144;-90.009010
128695000;-91.641830;-90.009010
128706000;-91.643753;-90.009010
128718000;-91.643921;-90.009010
128729000;-91.643784;-90.009010
128740000;-91.644745;-90.009010
128750000;-91.643883;-90.009010
128762000;-91.644157;-90.009010
128773000;-91.644928;-90.009010
